Date,Time,Open,High,Low,Close,Volume
06-01-2021,19:45:00,763.68,763.94,763.1,763.73,8620
06-01-2021,19:50:00,763.78,764.45,763.78,764.27,15981
06-01-2021,19:55:00,764.06,764.35,763.6,763.6,48372
07-01-2021,04:00:00,769,770,767.2,768.61,1412
07-01-2021,04:05:00,769.4,779,769.4,777,10088
07-01-2021,04:10:00,776.8,777.12,774.76,774.95,7477
07-01-2021,04:15:00,774.2,777.54,774.16,777.1,3468
07-01-2021,04:20:00,777,777,776.68,776.69,2014
07-01-2021,04:25:00,777,777.99,776.39,777.85,2211
07-01-2021,04:30:00,776.7,776.7,776.58,776.58,543
07-01-2021,04:35:00,776.3,777.6,776.3,777.52,1108
07-01-2021,04:40:00,777,777.3,776.96,776.99,1136
07-01-2021,04:45:00,777,777,776.95,776.95,305
07-01-2021,04:50:00,776.61,776.61,776.61,776.61,2348
07-01-2021,04:55:00,777,778.79,777,778,3060
07-01-2021,05:00:00,777.77,779.7,777.77,779.2,3714
07-01-2021,05:05:00,779.31,779.48,779,779.48,1099
07-01-2021,05:10:00,779.7,781.3,779.7,780,4101
07-01-2021,05:15:00,779.91,780,779.91,780,1000
07-01-2021,05:20:00,779.35,779.5,779.27,779.5,664
07-01-2021,05:25:00,780.2,780.2,780.2,780.2,200
07-01-2021,05:30:00,780.2,780.2,779.99,779.99,500
07-01-2021,05:40:00,780.2,780.21,779.75,779.75,867
07-01-2021,05:45:00,779.27,779.52,779,779,733
07-01-2021,05:50:00,779,779,778.3,778.3,1200
07-01-2021,05:55:00,778.7,780,778.55,778.61,932
07-01-2021,06:00:00,778.78,779,778.5,778.98,1404
07-01-2021,06:05:00,778.5,778.5,778.3,778.3,254
07-01-2021,06:10:00,778.64,778.64,778.04,778.04,2876
07-01-2021,06:15:00,777.8,777.96,776.88,777.07,786
07-01-2021,06:20:00,777.69,777.69,777.69,777.69,100
07-01-2021,06:25:00,778,778,777.99,778,1689
07-01-2021,06:30:00,777.8,777.8,777.2,777.8,837
07-01-2021,06:35:00,778,778,778,778,660
07-01-2021,06:40:00,777.79,778,777.3,777.3,4378
07-01-2021,06:45:00,777.5,778,777.5,778,2477
07-01-2021,06:50:00,778,778,777.07,777.66,1601
07-01-2021,06:55:00,777.54,777.7,777.1,777.7,1445
07-01-2021,07:00:00,777.14,777.7,775,775.96,37973
07-01-2021,07:05:00,775.82,777.64,775.8,777.64,29364
07-01-2021,07:10:00,777.68,778.48,777.02,777.62,32736
07-01-2021,07:15:00,777.69,778.38,777.06,777.71,35867
07-01-2021,07:20:00,777.77,777.79,776.7,777.15,18574
07-01-2021,07:25:00,777.1,777.79,777.03,777.46,6479
07-01-2021,07:30:00,777.4,777.4,776.13,777.06,12092
07-01-2021,07:35:00,777.3,777.63,776.75,777.5,4909
07-01-2021,07:40:00,777.6,778.42,777.25,778.14,16478
07-01-2021,07:45:00,778.1,778.23,777.66,777.78,8380
07-01-2021,07:50:00,777.69,778.31,777.67,778.3,4268
07-01-2021,07:55:00,778.36,779,778.25,778.5,29736
07-01-2021,08:00:00,776.036,778.88,775,778.3,74019
07-01-2021,08:05:00,778.14,778.3,777.77,778.3,15812
07-01-2021,08:10:00,778.15,778.15,776.8,776.87,20446
07-01-2021,08:15:00,776.75,777.3,776.5,776.69,11476
07-01-2021,08:20:00,776.7,777.77,776.7,777.6,6499
07-01-2021,08:25:00,777.85,778,776.5,776.5,20806
07-01-2021,08:30:00,776.52,776.9,776.17,776.9,10136
07-01-2021,08:35:00,776.85,777.49,776.5,777.3,4953
07-01-2021,08:40:00,777.47,777.5,776.51,777,9071
07-01-2021,08:45:00,776.7,776.91,775.94,776,9150
07-01-2021,08:50:00,776.05,776.2,774.22,774.4,14357
07-01-2021,08:55:00,774.47,775.5,774.3,774.53,16286
07-01-2021,09:00:00,774.53,776,773.31,776,34818
07-01-2021,09:05:00,776.1,776.47,774.12,774.77,12395
07-01-2021,09:10:00,774.77,775.85,774.77,775.85,12672
07-01-2021,09:15:00,775.88,776.87,775.88,776,9118
07-01-2021,09:20:00,776,776.5,775.8,776,13070
07-01-2021,09:25:00,776.18,778.5,775.52,778.05,50972
07-01-2021,09:30:00,778,779.99,775.2,779.2,1078457
07-01-2021,09:35:00,779.28,787.99,779.28,786.44,1260843
07-01-2021,09:40:00,786.75,792.93,786.452,792.77,1248828
07-01-2021,09:45:00,792.49,792.77,785.6,786.039,918814
07-01-2021,09:50:00,786,789.86,785.01,789,630478
07-01-2021,09:55:00,789,790.93,786.02,786.57,416961
07-01-2021,10:00:00,786.9,792,785.8,791.557,527327
07-01-2021,10:05:00,791.665,794.01,790.35,791.965,678029
07-01-2021,10:10:00,792.02,792.98,787.12,788.548,516430
07-01-2021,10:15:00,788.768,789.78,786.5,787.4,371996
07-01-2021,10:20:00,787.25,792.49,787.01,792.115,478870
07-01-2021,10:25:00,792.1,792.75,788.679,788.91,305306
07-01-2021,10:30:00,788.91,795,788.81,792.92,477998
07-01-2021,10:35:00,792.925,795.94,792.53,795.565,651080
07-01-2021,10:40:00,795.58,797,794.37,795.65,571171
07-01-2021,10:45:00,795.79,798.17,795.16,797.22,601752
07-01-2021,10:50:00,797.36,799.79,796.4,799.496,614897
07-01-2021,10:55:00,799.34,801,795.5,797.24,1144051
07-01-2021,11:00:00,797.24,799.89,797.24,799.19,468825
07-01-2021,11:05:00,799.03,800.499,797.37,799.2,477441
07-01-2021,11:10:00,798.59,801.94,797.8,798.878,608403
07-01-2021,11:15:00,798.838,802.92,798.7,801.521,697158
07-01-2021,11:20:00,801.589,807.6,801.52,806.51,794610
07-01-2021,11:25:00,806.41,811.61,804.691,807.44,714345
07-01-2021,11:30:00,807.446,808.077,804.3,804.54,504354
